Famille	Protéine	Relation
AAA ATPase family; Peptidase M41 family	AFG32_MOUSE	familiale
Cytidine and deoxycytidylate deaminase family, ADAT2 subfamily	ADAT2_HUMAN	familiale
Cytidine and deoxycytidylate deaminase family, ADAT2 subfamily	ADAT2_MOUSE	familiale
Intermediate filament family	K1C40_HUMAN	familiale
Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3A sub-subfamily	5HT3A_MOUSE	familiale
ESF2/ABP1 family	ABT1_MOUSE	familiale
ESF2/ABP1 family	ACBD6_HUMAN	familiale
Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A5 subfamily	AAAT_HUMAN	familiale
G-protein coupled receptor 2 family, LN-TM7 subfamily	AGRG1_HUMAN	familiale
G-protein coupled receptor 2 family, LN-TM7 subfamily	AGRL3_MOUSE	familiale
Protein kinase superfamily, ADCK protein kinase family	ADCK2_MOUSE	familiale
Protein kinase superfamily, ADCK protein kinase family	ADCK1_HUMAN	familiale
Protein kinase superfamily, ADCK protein kinase family	ADCK3_MOUSE	familiale
Protein kinase superfamily, ADCK protein kinase family	ADCK4_MOUSE	familiale
Protein kinase superfamily, ADCK protein kinase family	ADCK2_HUMAN	familiale
Protein kinase superfamily, ADCK protein kinase family	ADCK3_HUMAN	familiale
Protein kinase superfamily, ADCK protein kinase family	ADCK5_MOUSE	familiale
ABC transporter superfamily, ABCB family, Multidrug resistance exporter (TC 3.A.1.201) subfamily	ABCB5_HUMAN	familiale
ABC transporter superfamily, ABCB family, Multidrug resistance exporter (TC 3.A.1.201) subfamily	ABCBB_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-1/CHRNA1 sub-subfamily	ACHA_HUMAN	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-1/CHRNA1 sub-subfamily	ACHA_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-1/CHRNB1 sub-subfamily	ACHB_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-7/CHRNA7 sub-subfamily	ACHA7_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-7/CHRNA7 sub-subfamily	ACHA7_HUMAN	familiale
ADPRibase-Mn family	ADPRM_MOUSE	familiale
ADPRibase-Mn family	ADPRM_HUMAN	familiale
Peptidase M2 family	ACE_HUMAN	familiale
ABC transporter superfamily	ABCAD_HUMAN	familiale
Akirin family	AKIR1_MOUSE	familiale
ALB/AFP/VDB family	AFAM_MOUSE	familiale
ALB/AFP/VDB family	AFAP1_MOUSE	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2C sub-subfamily	ADA2C_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2C sub-subfamily	ADA32_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2C sub-subfamily	ADA33_MOUSE	familiale
ABI family	ABI2_HUMAN	familiale
ABI family	ABLM1_MOUSE	familiale
ABI family	ABI3_MOUSE	familiale
Protein kinase superfamily, Tyr protein kinase family	ACK1_MOUSE	familiale
3-HAO family	3HAO_HUMAN	familiale
Peptidase C2 family	ADGB_MOUSE	familiale
Peptidase C2 family	ADGB_HUMAN	familiale
ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily	ABCC9_MOUSE	familiale
G-protein coupled receptor 1 family	5HT2C_HUMAN	familiale
G-protein coupled receptor 1 family	5HT5B_MOUSE	familiale
G-protein coupled receptor 1 family	5HT7R_HUMAN	familiale
G-protein coupled receptor 1 family	AA3R_MOUSE	familiale
G-protein coupled receptor 1 family	AGTR2_MOUSE	familiale
G-protein coupled receptor 1 family	AA1R_MOUSE	familiale
G-protein coupled receptor 1 family	ACTHR_MOUSE	familiale
G-protein coupled receptor 1 family	AGTR1_HUMAN	familiale
G-protein coupled receptor 1 family	AHDC1_MOUSE	familiale
MHC class I family	1A02_HUMAN	familiale
MHC class I family	1A80_HUMAN	familiale
MHC class I family	1B07_HUMAN	familiale
MHC class I family	1B13_HUMAN	familiale
MHC class I family	1B18_HUMAN	familiale
MHC class I family	1B38_HUMAN	familiale
MHC class I family	1B39_HUMAN	familiale
MHC class I family	1B46_HUMAN	familiale
MHC class I family	1B48_HUMAN	familiale
MHC class I family	1B56_HUMAN	familiale
MHC class I family	1B58_HUMAN	familiale
MHC class I family	1C01_HUMAN	familiale
MHC class I family	1C03_HUMAN	familiale
MHC class I family	1C05_HUMAN	familiale
MHC class I family	1C08_HUMAN	familiale
MHC class I family	1C15_HUMAN	familiale
MHC class I family	1A23_HUMAN	familiale
MHC class I family	1A24_HUMAN	familiale
MHC class I family	1A30_HUMAN	familiale
MHC class I family	1A34_HUMAN	familiale
MHC class I family	1B27_HUMAN	familiale
MHC class I family	1B37_HUMAN	familiale
MHC class I family	1B42_HUMAN	familiale
MHC class I family	1B45_HUMAN	familiale
MHC class I family	1B51_HUMAN	familiale
MHC class I family	1B53_HUMAN	familiale
MHC class I family	1B59_HUMAN	familiale
MHC class I family	1B82_HUMAN	familiale
MHC class I family	1C02_HUMAN	familiale
MHC class I family	1C04_HUMAN	familiale
MHC class I family	1C06_HUMAN	familiale
MHC class I family	1C12_HUMAN	familiale
MHC class I family	1C18_HUMAN	familiale
MHC class I family	1A01_HUMAN	familiale
MHC class I family	1A29_HUMAN	familiale
MHC class I family	1A33_HUMAN	familiale
MHC class I family	1A66_HUMAN	familiale
MHC class I family	1A68_HUMAN	familiale
